Methods,Scenario,n,Specificity,Precision,Recall,F1,MCC,SDSPE,SDPRE,SDREC,SDF,SDMCC
SGCCA,NonLinear,100,0.9505,0.9273,0.0501,0.095,0.0011,0.0422,0.0626,0.0033,0.0064,0.0534
SGCCA,NonLinear,200,0.9784,0.904,0.0255,0.0495,0.008,0.019,0.0834,0.0024,0.0046,0.0429
KSSHIBA,Linear,30,0.7804,0.7818,0.1414,0.176,-0.0828,0.0546,0.0806,0.0329,0.0437,0.0251
KSSHIBA,Linear,50,0.8823,0.7453,0.0226,0.1036,-0.1105,0.0669,0.0463,0.0921,0.0838,0.051
KSSHIBA,Linear,80,0.8835,0.5391,-0.0264,0.0229,-0.1012,0.0825,0.0723,0.047,0.0663,0.0598
KSSHIBA,Linear,100,0.8514,0.4065,-0.0678,-0.1145,-0.1567,0.0623,0.0124,0.0206,0.008,0.0645
KSSHIBA,Linear,200,0.9329,0.2814,-0.1361,-0.0763,-0.1744,0.0298,0.0325,0.0634,0.0207,0.031
KSSHIBA,NonLinear,30,0.5351,0.3487,0.0158,0.0664,-0.3543,0.0623,0.0604,0.0878,0.0076,0.0748
KSSHIBA,NonLinear,50,0.6373,0.2931,-0.0405,0.0829,-0.357,0.0136,0.0951,0.0969,0.0216,0.0792
KSSHIBA,NonLinear,80,0.7864,0.2772,0.0277,0.0511,-0.2965,0.0494,0.0888,0.0478,0.0139,0.0642
KSSHIBA,NonLinear,100,0.8249,0.2735,-0.0708,-0.1155,-0.2755,0.0858,0.0399,0.0793,0.0754,0.0556
KSSHIBA,NonLinear,200,0.9239,0.1584,-0.1118,-0.1392,-0.1084,0.0444,0.0634,0.0697,0.0829,0.0602
